Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Indian,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Tomato Lentil Stew,0,1,0,0,0,575,18.4,56.7,7.3,207,399,1106,60,16.8,4,8.3
Bajra Khichdi,0,1,1,0,1,142,7.5,8.8,2.1,415,272,648,44,8.1,2,7.1
Bulgur Wheat Salad,1,1,1,0,0,517,9.3,32.3,8.6,143,512,562,45,9.5,1,6.4
Mushroom Quinoa Risotto,1,0,0,0,0,507,24.6,59.5,5.5,495,115,812,71,12.1,4,9.2
Lean Beef Stir Fry,0,0,0,1,0,454,4.9,54.6,6.6,397,361,546,68,3.8,4,1.2
Poached Eggs with Avocado,0,0,1,1,0,364,10.9,57.3,11.5,368,525,293,78,7.3,1,11.5
Grilled Salmon,0,1,0,1,0,250,23.9,11.2,11.2,215,417,783,14,15.3,1,7.7
Sattu Drink,1,0,1,0,1,108,23.3,39.0,2.1,36,193,319,18,16.8,2,3.8
Karela Juice,0,0,1,0,1,438,18.3,52.5,10.7,174,530,366,54,15.6,2,14.5
Oats Idli,0,0,1,0,1,281,21.7,18.7,4.6,155,470,322,22,9.3,2,2.1
Broccoli Almond Soup,1,1,0,0,0,482,20.2,46.0,7.4,219,524,973,42,6.0,2,16.2
Grilled Tofu with Vegetables,0,1,0,0,0,416,11.0,7.4,11.2,281,248,196,58,14.5,3,19.9
Smoked Salmon with Whole Grain Crackers,1,1,0,1,0,243,22.6,55.3,11.6,301,377,1121,33,13.2,4,4.2
Liver and Onions,1,1,1,1,0,285,8.4,19.6,5.0,257,521,1108,26,7.0,1,16.5
Vegetable Upma,1,1,0,0,1,496,27.5,50.2,11.4,285,469,159,65,17.8,3,1.9
Chicken Soup with Barley,0,1,0,1,0,473,24.7,59.3,2.6,370,301,212,68,17.2,1,2.2
Liver Curry (low oil),0,0,0,1,1,484,2.4,9.1,8.6,226,456,1196,62,19.0,2,8.2
Tuna Salad,0,1,0,1,0,465,9.0,20.1,3.3,478,507,183,48,14.1,2,10.0
Chicken Stew with Vegetables,0,0,1,1,1,367,24.9,58.2,2.0,280,420,773,56,9.6,1,12.8
Oven Roasted Turkey,1,0,0,1,0,202,5.8,5.8,4.9,127,354,1008,60,18.3,4,11.4
Palak Paneer,0,1,0,0,1,129,19.4,52.4,11.4,417,157,333,26,10.9,4,2.3
Moringa Soup,0,1,1,0,1,152,11.7,16.5,7.4,488,130,910,32,4.3,3,8.6
Turkey and Spinach Roll,1,1,1,1,0,459,21.5,27.6,10.6,184,112,821,59,12.8,3,1.8
Egg Salad,0,1,1,1,0,269,7.0,9.9,2.3,262,543,495,55,8.6,2,7.3
Mutton Dalcha,0,0,1,1,1,348,15.5,42.8,6.6,136,67,486,35,17.6,4,15.2
Quinoa Salad,0,1,0,0,0,402,12.4,31.6,7.8,107,235,514,35,2.7,4,3.5
Lamb and Lentil Soup,0,0,0,1,0,337,23.0,6.7,10.5,323,34,634,37,2.4,1,17.0
Homemade Curd,1,1,1,0,1,399,8.5,23.9,6.2,423,86,382,27,3.6,3,15.0
Baked Cod with Herbs,0,1,1,1,0,468,17.8,25.8,4.7,209,301,464,79,12.9,1,1.1
Vegetable Stir Fry (low oil),0,1,1,0,0,211,6.5,15.3,4.1,124,156,908,12,11.4,4,14.2
Daliya (Broken Wheat Porridge),1,0,1,0,1,421,18.1,55.5,1.1,147,523,1096,71,18.7,3,11.2
Shrimp and Brown Rice,1,0,0,1,0,399,7.7,58.2,8.8,241,244,681,21,4.1,2,15.6
Quail Soup,1,0,1,1,0,238,28.1,22.6,7.5,419,29,410,32,11.9,2,7.1
Garlic Butter Shrimp,1,1,0,1,0,418,21.1,46.8,7.5,437,569,467,69,19.4,2,18.7
Cottage Cheese with Berries,0,0,1,0,0,175,12.6,56.0,8.9,89,368,1022,23,16.4,3,4.1
Chicken Rassa,0,0,0,1,1,177,16.6,24.7,10.7,118,421,445,48,14.8,4,9.8
Almond Milk Chia Pudding,1,0,0,0,0,162,16.1,17.8,10.9,479,123,347,15,8.0,3,7.4
Grilled Fish Curry,1,1,0,1,1,210,19.4,34.3,10.8,449,176,699,66,7.6,1,15.8
Beef and Vegetable Stew,0,1,1,1,0,185,22.0,32.2,9.3,147,178,964,61,9.2,1,11.3
Besan Chilla,0,0,1,0,1,431,23.6,5.7,7.6,449,311,943,52,12.8,4,4.5
Sesame-Crusted Tuna,1,1,1,1,0,233,13.2,30.4,11.4,425,237,290,71,3.8,1,1.3
Chickpea Sundal,1,0,1,0,1,591,17.8,43.3,11.2,357,146,1158,40,12.9,2,2.5
Egg Masala with Brown Rice,1,1,0,1,1,313,27.5,11.8,3.6,375,439,1132,66,8.0,2,10.9
Chia Seed Pudding,1,0,0,0,0,530,3.5,23.4,9.8,146,594,393,34,17.5,2,7.6
Boiled Egg Chaat,1,0,1,1,1,446,14.7,17.4,6.0,208,201,813,34,11.0,2,1.6
Miso Soup,0,0,0,0,0,162,9.8,17.1,3.3,78,103,838,29,9.5,4,11.2
Sardines in Olive Oil,1,0,0,1,0,356,10.7,26.9,5.7,469,337,181,39,5.4,1,8.2
Goat Liver Fry,1,1,0,1,1,117,10.2,44.3,6.8,142,133,1096,72,3.9,4,17.4
Duck Breast with Orange Glaze,0,0,1,1,0,365,9.6,40.4,5.5,116,74,1181,74,11.9,3,5.4
Makhana Kheer,0,0,0,0,1,427,4.9,49.0,3.0,126,283,245,41,17.4,3,19.3
Egg Curry with Spinach,1,0,1,1,1,568,13.4,22.8,2.0,359,170,296,28,12.5,4,14.4
Flaxseed Chutney,0,0,0,0,1,503,11.4,50.4,5.0,148,415,410,46,9.4,2,7.9
Chicken Clear Soup,0,1,0,1,1,599,29.3,47.9,2.3,187,78,277,23,15.4,2,13.0
Chickpea Spinach Wrap,0,0,1,0,0,377,25.4,59.1,6.8,138,94,987,27,11.5,2,12.0
Beetroot Hummus,1,1,0,0,0,264,20.2,50.6,3.3,391,361,176,66,6.8,3,12.4
Steamed Dhokla,1,0,0,0,1,408,6.9,55.3,5.6,219,577,279,63,15.3,3,2.7
Avocado Toast,0,1,0,0,0,248,25.4,29.0,11.1,216,246,247,64,13.9,2,3.6
Stuffed Bell Peppers,1,0,1,0,0,135,17.1,13.9,10.3,366,526,514,35,10.5,1,2.4
Tilapia with Lemon,0,0,0,1,0,160,21.3,28.9,3.7,160,517,257,53,19.4,2,12.2
Bengali Rohu Curry,0,0,1,1,1,542,27.7,12.5,11.4,340,516,161,71,19.2,3,14.9
Fish Tikka,0,0,0,1,1,584,21.4,51.7,3.8,118,287,638,35,2.7,2,12.2
Baked Sweet Potatoes,0,0,1,0,0,568,15.2,22.2,2.3,36,156,1032,57,4.1,3,18.9
Malabar Prawn Curry,1,0,1,1,1,471,25.6,22.6,10.1,302,545,1144,69,10.7,3,14.2
Vegetable Poha,1,1,0,0,1,570,3.8,22.3,6.9,378,416,871,42,17.9,2,17.7
Flaxseed Smoothie,1,0,0,0,0,269,29.7,5.0,3.0,303,435,963,38,15.8,1,1.7
Amla Juice,1,0,1,0,1,539,9.6,26.9,2.0,388,359,538,74,6.3,3,9.9
Fish Moilee,1,1,1,1,1,423,22.0,37.4,4.0,466,418,966,77,5.9,2,16.2
Cauliflower Rice Pilaf,0,0,1,0,0,297,29.5,53.6,7.6,91,245,713,13,6.2,4,16.9
Kheema Bhurji,1,0,0,1,1,592,5.4,7.6,5.2,454,525,408,15,16.4,2,19.4
Ragi Roti,0,0,0,0,1,119,29.9,14.6,5.4,207,81,365,12,16.7,2,12.8
Beetroot Paratha,0,0,0,0,1,428,27.1,52.3,6.0,469,342,784,38,18.0,1,17.2
Sardine Sandwich on Whole Wheat,1,0,0,1,0,139,28.1,45.4,4.1,153,57,477,14,2.9,2,2.5
Spinach Dal,1,1,0,0,1,383,4.1,51.8,6.5,253,337,498,67,12.3,4,13.9
Steamed Fish with Mustard,0,0,0,1,1,388,26.6,48.9,8.2,382,590,965,50,8.0,1,14.3
Kale Smoothie,1,1,0,0,0,254,23.1,13.7,10.7,343,50,684,51,4.3,3,5.3
Chicken Zoodle Soup,0,0,1,1,0,455,17.6,46.6,3.9,479,243,166,69,2.2,1,15.8
Gondh Laddoo,1,0,1,0,1,554,17.2,58.0,4.8,89,354,186,31,18.9,4,15.6
Lentil Soup,1,0,1,0,0,116,23.6,44.0,6.2,51,493,359,59,19.8,3,19.4
Cabbage Stir Fry,1,0,0,0,0,535,23.2,6.4,1.2,163,98,1096,67,2.0,2,6.2
Mutton Bone Broth,0,1,0,1,1,198,14.6,14.0,9.7,186,94,1033,41,3.5,2,5.4
Grilled Chicken Wrap,0,0,0,1,0,436,29.0,6.7,9.0,332,103,719,47,6.1,1,4.8
Boiled Egg and Spinach Salad,0,0,1,1,0,111,17.8,30.9,7.0,89,449,1134,26,3.6,4,15.6
Kerala Coconut Fish Curry,1,1,1,1,1,298,19.5,12.2,1.4,345,397,1048,29,16.3,1,1.0
Tandoori Prawns,0,0,1,1,1,335,8.9,35.7,3.5,473,520,266,11,16.4,3,19.7
Moong Dal Khichdi,0,1,0,0,1,373,21.1,26.8,11.7,195,563,160,54,15.6,4,15.8
Sprouted Moong Chaat,1,0,1,0,1,278,4.9,18.3,11.8,189,482,741,63,13.1,4,7.6
Egg Bhurji,1,1,1,1,1,452,16.5,9.8,4.9,446,135,1067,75,19.6,2,14.1
Oats Porridge with Nuts,1,0,1,0,0,205,6.7,10.8,8.0,480,28,923,41,7.4,4,17.5
