food_items,Breakfast,Lunch,Dinner,VegNovVeg,Indian,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Karela Juice,0,0,1,0,1,97,17.0,22.0,0.1,497,1,77.0,8.5,0.0,200,2.6
Oats Idli,0,0,1,0,1,188,1.7,1.4,0.4,2,9,212.0,8.5,0.9,0,5.9
Broccoli Almond Soup,1,1,0,0,0,407,50.0,4.3,1.2,2,1,50.0,8.5,0.0,0,2.2
Grilled Tofu with Vegetables,0,1,0,0,0,97,34.0,21.0,6.8,2,253,230.0,8.5,0.0,0,4.4
Smoked Salmon with Whole Grain Crackers,1,1,0,1,0,32,44.0,9.0,1.9,12,4,91.0,8.5,0.9,0,0.2
Liver and Onions,1,1,1,1,0,73,31.0,20.0,0.8,2,16,230.0,8.5,0.0,0,0.7
Vegetable Upma,1,1,0,0,1,535,3.7,18.0,3.8,2,457,362.0,8.5,2.1,0,0.2
Chicken Soup with Barley,0,1,0,1,0,411,1.9,20.0,0.1,2,1,230.0,8.5,3.1,0,0.9
Liver Curry (low oil),0,0,0,1,1,429,1.4,5.6,24.0,2,207,178.0,8.5,14.0,0,52.0
Tuna Salad,0,1,0,1,0,188,0.0,21.0,3.7,2,207,50.0,8.5,13.0,0,7.7
Chicken Stew with Vegetables,0,0,1,1,1,151,0.1,1.1,0.6,2,329,76.0,8.5,3.4,0,4.9
Oven Roasted Turkey,1,0,0,1,0,188,0.2,3.1,0.8,2,9,63.0,8.5,3.2,0,8.4
Palak Paneer,0,1,0,0,1,40,1.4,2.3,3.7,2,1531,485.0,8.5,3.4,286,0.5
Moringa Soup,0,1,1,0,1,550,0.0,0.2,6.7,2,201,63.0,8.5,0.9,0,35.0
Turkey and Spinach Roll,1,1,1,1,0,407,3.7,0.2,3.2,2,1,172.0,8.5,2.9,286,46.0
Egg Salad,0,1,1,1,0,22,30.0,2.3,0.3,5,253,77.0,8.5,0.0,0,5.7
Mutton Dalcha,0,0,1,1,1,579,2.1,0.0,0.1,2,1,0.2,8.5,3.2,0,0.0
Quinoa Salad,0,1,0,0,0,93,34.0,3.1,0.1,2,240,110.0,8.5,2.5,0,5.7
Lamb and Lentil Soup,0,0,0,1,0,553,0.2,1.4,2.6,2,253,63.0,8.5,0.0,0,12.0
Homemade Curd,1,1,1,0,1,160,31.0,5.0,2.4,2,313,91.0,8.5,14.0,0,1.4
Baked Cod with Herbs,0,1,1,1,0,76,0.2,2.0,2.4,497,1,358.0,8.5,2.7,0,4.4
Vegetable Stir Fry (low oil),0,1,1,0,0,350,3.7,4.5,3.8,2,438,379.0,8.5,0.2,286,0.0
Daliya (Broken Wheat Porridge),1,0,1,0,1,350,0.3,1.9,6.7,2,457,362.0,8.5,2.8,0,0.0
Shrimp and Brown Rice,1,0,0,1,0,151,7.2,20.0,3.2,2,207,230.0,8.5,0.0,0,5.9
Quail Soup,1,0,1,1,0,97,1.4,5.0,0.3,2,94,362.0,8.5,0.0,0,0.2
Garlic Butter Shrimp,1,1,0,1,0,97,15.0,3.2,0.3,2,34,152.0,8.5,0.0,0,9.8
Cottage Cheese with Berries,0,0,1,0,0,130,24.0,3.2,0.4,2,52,116.0,8.5,0.0,0,0.0
Chicken Rassa,0,0,0,1,1,350,0.1,0.7,0.1,2,7,178.0,8.5,0.0,0,10.0
Almond Milk Chia Pudding,1,0,0,0,0,22,0.1,14.0,3.2,2,571,178.0,8.5,3.3,0,0.9
Grilled Fish Curry,1,1,0,1,1,97,1.9,9.0,0.0,2,438,107.0,8.5,3.4,7,12.0
Beef and Vegetable Stew,0,1,1,1,0,97,50.0,9.0,3.4,2,1,272.0,8.5,34.0,0,2.0
Besan Chilla,0,0,1,0,1,188,1.9,46.0,0.5,2,1531,362.0,8.5,2.7,0,0.0
Sesame-Crusted Tuna,1,1,1,1,0,97,7.2,4.4,2.6,2,42,91.0,8.5,13.0,0,7.8
Chickpea Sundal,1,0,1,0,1,188,0.1,20.0,3.2,2,313,178.0,8.5,2.6,0,0.0
Egg Masala with Brown Rice,1,1,0,1,1,550,50.0,0.2,3.4,190,7,91.0,8.5,7.1,0,0.0
Chia Seed Pudding,1,0,0,0,0,22,34.0,0.2,0.4,190,1,51.0,8.5,0.0,0,0.9
Boiled Egg Chaat,1,0,1,1,1,384,1.4,21.0,1.2,2,1,178.0,8.5,13.0,0,8.4
Miso Soup,0,0,0,0,0,16,50.0,4.4,0.8,2,3,0.2,8.5,2.5,0,0.0
Sardines in Olive Oil,1,0,0,1,0,45,1.7,4.5,0.8,2,94,141.0,8.5,2.6,0,9.8
Goat Liver Fry,1,1,0,1,1,486,0.9,21.0,1.9,190,79,660.0,8.5,3.3,0,4.4
Duck Breast with Orange Glaze,0,0,1,1,0,411,24.0,0.7,0.0,2,42,76.0,8.5,2.5,0,12.0
Makhana Kheer,0,0,0,0,1,535,34.0,5.0,0.9,2,1,92.0,8.5,2.6,0,35.0
Egg Curry with Spinach,1,0,1,1,1,87,1.7,4.4,8.6,2,571,230.0,8.5,13.0,0,82.0
Flaxseed Chutney,0,0,0,0,1,97,0.0,4.4,0.8,2,207,212.0,8.5,0.0,0,0.9
Chicken Clear Soup,0,1,0,1,1,535,30.0,4.5,0.5,2,313,141.0,8.5,0.0,200,10.0
Chickpea Spinach Wrap,0,0,1,0,0,486,15.0,2.6,0.0,5,1,63.0,8.5,2.5,0,12.0
Beetroot Hummus,1,1,0,0,0,535,17.0,4.4,6.7,497,1,153.0,8.5,0.0,0,0.0
Steamed Dhokla,1,0,0,0,1,76,0.1,2.0,0.8,2,1,51.0,8.5,24.0,0,0.9
Avocado Toast,0,1,0,0,0,196,1.9,3.1,0.5,2,1,172.0,8.5,13.0,0,0.2
Stuffed Bell Peppers,1,0,1,0,0,57,0.9,3.2,2.3,2,1,180.0,8.5,3.3,0,0.0
Tilapia with Lemon,0,0,0,1,0,579,0.2,1.2,0.0,2,286,272.0,8.5,2.6,0,0.2
Bengali Rohu Curry,0,0,1,1,1,1,44.0,13.0,0.5,2,4,733.0,8.5,0.2,88,3.6
Fish Tikka,0,0,0,1,1,519,17.0,0.7,2.4,2,207,52.0,8.5,0.0,0,55.0
Baked Sweet Potatoes,0,0,1,0,0,579,0.0,0.7,0.1,2,1,536.0,8.5,2.6,0,2.2
Malabar Prawn Curry,1,0,1,1,1,73,0.2,4.4,8.6,2,1,141.0,8.5,34.0,0,55.0
Vegetable Poha,1,1,0,0,1,1,0.2,3.1,0.5,2,1531,63.0,8.5,0.9,0,0.4
Flaxseed Smoothie,1,0,0,0,0,93,0.0,5.6,3.2,2,457,362.0,8.5,2.5,0,12.0
Amla Juice,1,0,1,0,1,519,0.0,20.0,0.9,2,5,200.0,8.5,0.0,0,0.0
Fish Moilee,1,1,1,1,1,384,0.0,0.0,0.5,2,240,362.0,8.5,3.4,0,5.7
Cauliflower Rice Pilaf,0,0,1,0,0,188,1.4,1.1,0.2,2,1,0.2,8.5,11.0,88,7.7
Kheema Bhurji,1,0,0,1,1,89,50.0,0.3,0.1,2,240,241.0,8.5,0.0,0,82.0
Ragi Roti,0,0,0,0,1,16,30.0,1.5,3.7,2,27,107.0,8.5,0.0,0,46.0
Beetroot Paratha,0,0,0,0,1,384,9.5,17.0,3.2,2,9,660.0,8.5,2.8,0,7.8
Sardine Sandwich on Whole Wheat,1,0,0,1,0,120,0.1,7.7,0.6,497,79,379.0,8.5,2.6,0,0.7
Spinach Dal,1,1,0,0,1,1,30.0,0.3,8.0,2,313,318.0,8.5,11.0,0,0.0
Steamed Fish with Mustard,0,0,0,1,1,407,22.0,2.0,7.7,2,1,110.0,8.5,2.7,0,65.0
Kale Smoothie,1,1,0,0,0,52,24.0,22.0,6.7,190,1,230.0,8.5,13.0,0,7.0
Chicken Zoodle Soup,0,0,1,1,0,16,0.9,0.3,8.0,497,1,141.0,8.5,2.5,0,5.7
Gondh Laddoo,1,0,1,0,1,22,2.1,1.5,0.2,2,1,200.0,8.5,13.0,1,0.4
Lentil Soup,1,0,1,0,0,97,0.0,1.5,0.5,2,94,200.0,8.5,2.5,0,10.0
Cabbage Stir Fry,1,0,0,0,0,40,6.9,4.3,0.1,2,16,178.0,8.5,1.0,0,5.7
Mutton Bone Broth,0,1,0,1,1,97,1.9,1.9,37.4,2,27,733.0,8.5,2.7,0,0.0
Grilled Chicken Wrap,0,0,0,1,0,579,0.2,4.4,0.3,2,1,141.0,8.5,3.4,0,0.0
Boiled Egg and Spinach Salad,0,0,1,1,0,57,3.7,3.8,0.1,2,70,50.0,8.5,7.1,200,0.0
Kerala Coconut Fish Curry,1,1,1,1,1,89,22.0,2.0,8.6,2,12,372.0,8.5,2.0,0,1.4
Tandoori Prawns,0,0,1,1,1,76,3.7,0.7,3.8,497,34,272.0,8.5,2.6,0,0.0
Moong Dal Khichdi,0,1,0,0,1,32,0.0,22.0,0.6,2,1531,372.0,8.5,3.1,0,65.0
Sprouted Moong Chaat,1,0,1,0,1,384,1.9,13.0,24.0,2,966,153.0,8.5,0.0,0,46.0
Egg Bhurji,1,1,1,1,1,381,4.0,4.4,0.6,2,298,52.0,8.5,0.0,0,55.0
Oats Porridge with Nuts,1,0,1,0,0,519,0.2,3.2,0.8,2,34,379.0,8.5,2.5,0,0.0
